"filename", "language", "XML", "Swift", "YAML", "JSON", "Markdown", "C++", "Dart", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"/Users/simonwachtler/digitales-register/lib/container/login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 7, 75
"/Users/simonwachtler/digitales-register/lib/container/messages_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"/Users/simonwachtler/digitales-register/lib/container/network_protocol_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/Users/simonwachtler/digitales-register/lib/container/notification_icon_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/simonwachtler/digitales-register/lib/container/notifications_page_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"/Users/simonwachtler/digitales-register/lib/container/pass_reset_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/simonwachtler/digitales-register/lib/container/profile_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"/Users/simonwachtler/digitales-register/lib/container/request_pass_reset_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"/Users/simonwachtler/digitales-register/lib/container/settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 6, 111
"/Users/simonwachtler/digitales-register/lib/container/sidebar_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 7, 73
"/Users/simonwachtler/digitales-register/lib/container/sorted_grades_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 9, 65
"/Users/simonwachtler/digitales-register/lib/data.dart", "Dart", 0, 0, 0, 0, 0, 0, 466, 0, 0, 0, 28, 62, 556
"/Users/simonwachtler/digitales-register/lib/desktop.dart", "Dart", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 3, 12, 97
"/Users/simonwachtler/digitales-register/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 2, 9, 178
"/Users/simonwachtler/digitales-register/lib/middleware/absences.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
